Aerial,,,,Lateral,,,
t,x,y,frame,t,x,y,frame
0,0.045619445,-0.024731462,3890,0,0.051436164,-0.025922424,3890
0.33367,0.044479395,-0.027920375,3900,0.33367,0.050002911,-0.026895351,3900
0.66734,0.040553752,-0.025882267,3910,0.66734,0.04887751,-0.027007165,3910
1.00101,0.037733204,-0.025191246,3920,1.00101,0.045697344,-0.025356093,3920
1.33468,0.034872324,-0.024908922,3930,1.33468,0.043070439,-0.024873985,3930
1.66835,0.037324507,-0.025150914,3940,1.66835,0.04132643,-0.024479006,3940
2.00202,0.038959295,-0.025312242,3950,2.00202,0.045697344,-0.025356093,3950
2.33569,0.038959295,-0.025312242,3960,2.33569,0.045784471,-0.024473197,3960
2.66936,0.038959295,-0.025312242,3970,2.66936,0.049536777,-0.02484349,3970
3.00303,0.037203511,-0.026377006,3980,3.00303,0.049757501,-0.024865272,3980
3.3367,0.02828746,-0.020545005,3990,3.3367,0.047239506,-0.023279546,3990
3.67037,0.023100771,-0.022921902,4000,3.67037,0.0424983,-0.026154765,4000
4.00404,0.020608256,-0.023088607,4010,4.00404,0.039454634,-0.02763739,4010
4.33771,0.020527592,-0.023906001,4020,4.33771,0.03923391,-0.027615608,4020
4.67138,0.023474514,-0.027498234,4030,4.67138,0.041487617,-0.029621,4030
5.00505,0.024700605,-0.02761923,4040,5.00505,0.045174577,-0.030653465,4040
5.33872,0.031688788,-0.027896176,4050,5.33872,0.047512507,-0.029546942,4050
5.67239,0.039408324,-0.024943877,4060,5.67239,0.050071161,-0.0284622,4060
6.00606,0.04145181,-0.025145537,4070,6.00606,0.052008304,-0.024641644,4070
6.33973,0.044882715,-0.023833404,4080,6.33973,0.053970132,-0.022829385,4080
6.6734,0.045947478,-0.025589188,4090,6.6734,0.052828757,-0.027619964,4090
7.00707,0.045181171,-0.033354434,4100,7.00707,0.051774511,-0.031527648,4100
7.34074,0.045140839,-0.033763131,4110,7.34074,0.049480144,-0.032192724,4110
7.67441,0.044404109,-0.032865072,4120,7.67441,0.043583041,-0.028713419,4120
8.00808,0.046361553,-0.029756823,4130,8.00808,0.047599635,-0.028664046,4130
8.34175,0.044767096,-0.029186798,4140,8.34175,0.045591338,-0.028688733,4140
8.67542,0.039862731,-0.028702815,4150,8.67542,0.044664879,-0.029043052,4150
9.00909,0.034670664,-0.026952408,4160,9.00909,0.042697242,-0.02639727,4160
9.34276,0.03000829,-0.024016242,4170,9.34276,0.039691331,-0.022980407,4170
9.67643,0.02734907,-0.021690433,4180,9.67643,0.031148446,-0.021468739,4180
10.0101,0.022934066,-0.020429387,4190,10.0101,0.029824103,-0.021338047,4190
10.34377,0.022197335,-0.019531329,4200,10.34377,0.031987778,-0.021997314,4200
10.67744,0.020239891,-0.022639578,4210,10.67744,0.034285048,-0.023561259,4210
11.01111,0.019059509,-0.026237188,4220,11.01111,0.038195636,-0.026844527,4220
11.34478,0.022041385,-0.02529342,4230,11.34478,0.043956239,-0.027190134,4230
